Site_id	Site_name	Parameters	Axis_title
434856112400001	ANP 9	AL, SB, CO, CU, MN, O-PO4 as P, TOC, PB
433509112384801	ARBOR TEST	CR
433223112470201	AREA 2	O-PO4 as P
433042112535101	BADGING FACILITY	O-PO4 as P
433440112554401	CPP 4	O-PO4 as P, CR
433051113002601	EBR 1	O-PO4 as P, CR, TOC
433548112562301	FIRE STA 2	CR
433256113002501	HIGHWAY 3	O-PO4 as P, CR, TOC
435038112453401	NO NAME 1	AL, SB, CO, CU, NI, AG, TL, ZN, MN, O-PO4 as P, TOC, MO
433449112523101	NPR TEST	O-PO4 as P, CR, TOC
434941112454201	PSTF TEST	AL, SB, AS, CR, CO, CU, PB, MN, NI, TL, ZN, O-PO4 as P, TOC
435419112453101	P AND W 2	O-PO4 as P, CR
433617112542001	SITE 4	CR
433123112530101	SITE 9	O-PO4 as P
434334112463101	SITE 14	O-PO4 as P, CR, TOC
434027112575701	SITE 17	O-PO4 as P
433522112582101	SITE 19	CR
433252112520301	SPERT 1	O-PO4 as P
433521112573801	TRA 1	CR
433522112573501	TRA 3	CR
433521112574201	TRA 4	CR
432700112470801	USGS 1	O-PO4 as P, CR
433320112432301	USGS 2	O-PO4 as P
434657112282201	USGS 4	O-PO4 as P, CR
433543112493801	USGS 5	O-PO4 as P, TOC
434031112453701	USGS 6	O-PO4 as P
434915112443901	USGS 7	AL, SB, CR, CO, CU, MO, NI, TL, ZN, O-PO4 as P, TOC
433121113115801	USGS 8	O-PO4 as P, CR, TOC
432740113044501	USGS 9	O-PO4 as P, CR, TOC
432336113064201	USGS 11	O-PO4 as P, CR, TOC
434126112550701	USGS 12	O-PO4 as P, CR, TOC, F
434234112551701	USGS 15	O-PO4 as P, TOC, F
433937112515401	USGS 17	O-PO4 as P, TOC, BR
434540112440901	USGS 18	O-PO4 as P
434426112575701	USGS 19	O-PO4 as P, CR, TOC
434055112595901	USGS 23	O-PO4 as P, CR, TOC
435212112394001	USGS 26	AL, SB, BA, CR, CO, CU, MN, NI, TL, ZN, O-PO4 as P, TOC, MO
434851112321801	USGS 27	O-PO4 as P, CR
434407112285101	USGS 29	O-PO4 as P
434625112342101	USGS 31	O-PO4 as P
434444112322101	USGS 32	O-PO4 as P
433023112561501	USGS 83	CR, O-PO4 as P
432935113080001	USGS 86	O-PO4 as P, CR, TOC
433807112551501	USGS 97	AL, SB,  CD, CR, CO, CU, PB, MN, HG, NI, SE, AG, ZN, F, O-PO4 as P, TOC
433657112563601	USGS 98	AL, SB, AS, CD, CR, CO, CU, PB, MN, HG, NI, SE, AG, F, O-PO4 as P, TOC
433705112552101	USGS 99	O-PO4 as P, CR, F
433503112400701	USGS 100	CR
433255112381801	USGS 101	O-PO4 as P, CR, TOC
433853112551601	USGS 102	O-PO4 as P, F
432714112560701	USGS 103	O-PO4 as P, CR, TOC
432942112532801	USGS 107	O-PO4 as P, CR, TOC
432701113025601	USGS 109	O-PO4 as P, CR, TOC
432717112501502	USGS 110A	O-PO4 as P, CR, TOC
432955113025901	USGS 117	O-PO4 as P
432945113023401	USGS 119	O-PO4 as P
433450112560301	USGS 121	O-PO4 as P
432602113052801	USGS 125	O-PO4 as P, CR, TOC
435529112471301	USGS 126A	O-PO4 as P, CR, TOC
435529112471401	USGS 126B	O-PO4 as P, CR, TOC
433716112563601	WS INEL 1	O-PO4 as P, CR, F
13119000	LITTLE LOST RIVER NR HOWE ID	F
