Site_id	Site_name	Parameter_id
433243112591101	RIFLE RANGE	Na
433326112564801	USGS 37	Na
433407112560301	USGS 47	Na
433350112560601	USGS 51	Na
433344112562601	USGS 57	Na
433354112554701	USGS 59	Na
433331112560501	USGS 111	Na
433314112561801	USGS 113	Na
433144112563501	CFA 2	CL
433243112591101	RIFLE RANGE	CL
433326112564801	USGS 37	CL
433350112560601	USGS 51	CL
433344112562601	USGS 57	CL
433354112554701	USGS 59	CL
433331112560501	USGS 111	CL
433314112561801	USGS 113	CL
433204112562001	CFA 1	NO3+NO2
433144112563501	CFA 2	NO3+NO2
433253112545901	USGS 20	NO3+NO2
433415112561501	USGS 43	NO3+NO2
433407112560301	USGS 47	NO3+NO2
433401112560301	USGS 48	NO3+NO2
433344112562601	USGS 57	NO3+NO2
433344112554101	USGS 67	NO3+NO2
433314112561801	USGS 113	NO3+NO2
433331112553201	USGS 116	NO3+NO2
